ts,machine_id,type,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,vibration_mms,current_a,humidity_pct,twf,hdf,pwf,osf,rnf,machine_failure,power_w
2026-09-01 0:00,CNC-01,L,298.9856767,310.645451,2645.521023,14.10362244,40.11542601,3.205906774,7.105182907,51.18265246,0,0,0,0,0,0,3907.243778
2026-09-01 0:00,CNC-02,M,299.1151534,310.7161666,2674.973857,15.31592408,4.6544464,3.254764004,7.669823951,53.06056241,0,0,0,0,0,0,4290.336586
2026-09-01 0:00,CNC-03,H,299.0002204,310.2101224,2773.509184,14.10220071,16.30173196,3.317824661,7.285097275,53.25444052,0,0,0,0,0,0,4095.860131
2026-09-01 0:01,CNC-01,L,298.9747576,310.508851,2850.025793,13.86121669,41.14542601,3.274347431,7.40274099,53.45249707,0,0,0,0,0,0,4136.935609
2026-09-01 0:01,CNC-02,M,299.0898872,310.9515729,2685.23826,17.12071634,5.735289199,3.239369461,8.692245469,51.22929276,0,0,0,0,0,0,4814.302515
2026-09-01 0:01,CNC-03,H,298.8978264,311.7221806,2556.321991,22.31585285,17.44170592,3.083483137,10.94503122,50.57905729,0,0,0,0,0,0,5973.896076
2026-09-01 0:02,CNC-01,L,299.1142615,311.440648,2633.06262,17.90560511,42.22794982,3.257744555,8.879095091,52.85952168,0,0,0,0,0,0,4937.178259
2026-09-01 0:02,CNC-02,M,298.866392,310.042818,2688.961712,13.07525635,6.802046039,3.224539445,6.573238686,50.69748367,0,0,0,0,0,0,3681.827596
2026-09-01 0:02,CNC-03,H,298.9433289,310.4836291,2742.907224,13.75277579,18.47170592,3.267137974,6.924444235,52.57158723,0,0,0,0,0,0,3950.300185
2026-09-01 0:03,CNC-01,L,298.6670054,310.1665385,2589.924393,14.61333917,43.3161899,3.170305003,7.160444287,53.60131293,0,0,0,0,0,0,3963.375024
2026-09-01 0:03,CNC-02,M,299.033405,311.2154859,2479.828939,18.70850868,7.925063305,3.017673866,8.378299204,50.48878851,0,0,0,0,0,0,4858.357978
2026-09-01 0:03,CNC-03,H,298.7996863,309.8170118,2771.443318,11.56432823,19.50170592,3.350766207,5.74932939,55.94039336,0,0,1,0,0,1,3356.255605
2026-09-01 0:04,CNC-01,L,299.0499632,310.4680985,2750.38886,13.78965174,44.3461899,3.251794556,7.073852137,52.87871332,0,0,0,0,0,0,3971.696156
2026-09-01 0:04,CNC-02,M,299.1073475,310.8664867,2617.337274,15.61061634,9.018410187,3.19874212,7.401662205,51.87479081,0,0,0,0,0,0,4278.665728
2026-09-01 0:04,CNC-03,H,298.9324918,310.439781,2581.161928,15.69213588,20.61822975,3.155803799,7.679528272,51.75916487,0,0,0,0,0,0,4241.563066
2026-09-01 0:05,CNC-01,L,298.9665636,310.44411,2814.923661,12.93194639,45.3761899,3.324400514,6.910088641,56.52611763,0,0,0,0,0,0,3812.054798
2026-09-01 0:05,CNC-02,M,299.0280855,310.1717424,2730.747372,12.57797698,10.08378476,3.231756682,6.260330405,49.46068966,0,0,0,0,0,0,3596.838497
2026-09-01 0:05,CNC-03,H,298.9123548,311.3845512,2580.083603,19.33447002,21.72696527,3.12525918,9.375610992,53.34993736,0,0,0,0,0,0,5223.897764
2026-09-01 0:06,CNC-01,L,298.953535,310.7168539,2668.730439,15.89209904,46.44011763,3.267002031,8.182283006,53.60628096,0,0,0,0,0,0,4441.345817
2026-09-01 0:06,CNC-02,M,298.8971583,310.2935389,2774.244968,13.50184519,11.13306556,3.335866185,7.248048432,54.38910434,0,0,0,0,0,0,3922.532485
2026-09-01 0:06,CNC-03,H,299.0388484,311.5672431,2547.54535,20.42810756,22.8400665,3.046168615,9.67627727,55.95836847,0,0,0,0,0,0,5449.776322
2026-09-01 0:07,CNC-01,L,298.8466068,310.3444468,2801.654118,14.0832304,47.49075628,3.292508588,7.190506355,56.56111541,0,0,0,0,0,0,4131.85831
2026-09-01 0:07,CNC-02,M,298.746281,309.393235,2661.451991,11.90301028,12.18506007,3.202570968,5.90251287,52.88271565,0,0,1,0,0,1,3317.447534
2026-09-01 0:07,CNC-03,H,299.0733978,310.9711233,2641.495701,18.52928911,23.9316618,3.137605966,9.092618327,55.80221692,0,0,0,0,0,0,5125.512344
2026-09-01 0:08,CNC-01,L,298.9528669,309.6385342,2739.628943,10.68676598,48.55041672,3.334550286,5.30410069,54.08053878,0,0,1,0,0,1,3065.96126
2026-09-01 0:08,CNC-02,M,298.9631743,310.7623126,2785.712434,14.62722801,13.21506007,3.361963126,7.770009759,54.75036012,0,0,0,0,0,0,4267.042139
2026-09-01 0:08,CNC-03,H,298.7666838,310.6736115,2581.340362,17.60859473,25.04359811,2.966441469,8.53658034,50.9945087,0,0,0,0,0,0,4759.908323
2026-09-01 0:09,CNC-01,L,298.9372907,310.5816908,2812.226075,13.63388737,49.58503357,3.409197613,7.153929546,55.49351374,0,0,0,0,0,0,4015.120195
2026-09-01 0:09,CNC-02,M,298.6737503,308.947364,2847.050658,7.36381052,14.24506007,3.413418758,3.722313504,58.99127144,0,0,1,0,0,1,2195.464493
2026-09-01 0:09,CNC-03,H,298.5407678,309.9210738,2707.50998,12.4892947,26.09963607,3.236813109,6.284326097,54.06026764,0,0,0,0,0,0,3541.087006
2026-09-01 0:10,CNC-01,L,298.9759559,310.8003668,2624.560632,16.45751991,50.67167249,3.143479012,7.920035968,54.55892109,0,0,0,0,0,0,4523.23985
2026-09-01 0:10,CNC-02,M,298.9277922,310.4324782,2586.596828,15.60610982,15.35322121,3.147525508,7.842925671,50.20535217,0,0,0,0,0,0,4227.192422
2026-09-01 0:10,CNC-03,H,298.6848088,310.8600128,2648.995371,18.55999564,27.18541117,3.212723537,9.340181818,54.57555688,0,0,0,0,0,0,5148.582629
2026-09-01 0:11,CNC-01,L,298.7973293,310.628219,2622.923167,15.94592042,51.75531718,3.119563775,7.573547087,51.53436105,0,0,0,0,0,0,4379.895808
2026-09-01 0:11,CNC-02,M,298.9365274,309.9797049,2722.772935,12.76091138,16.4196122,3.262692407,6.433417978,55.24810533,0,0,0,0,0,0,3638.494606
2026-09-01 0:11,CNC-03,H,298.9378865,310.8651552,2782.687366,15.57765443,28.21954369,3.344794232,8.04729953,49.8907881,0,0,0,0,0,0,4539.364946
2026-09-01 0:12,CNC-01,L,299.074745,310.1868715,2705.604324,11.92904005,52.81766813,3.313117214,6.188039472,52.17136795,0,0,1,0,0,1,3379.857569
2026-09-01 0:12,CNC-02,M,298.919404,309.9241451,2747.839185,12.20043365,17.4496122,3.259511633,6.476897986,48.75616257,0,0,0,0,0,0,3510.711952
2026-09-01 0:12,CNC-03,H,299.1115271,311.228106,2713.805934,15.32721426,29.30680903,3.19799854,7.661268299,56.99225181,0,0,0,0,0,0,4355.827117
2026-09-01 0:13,CNC-01,L,298.985333,311.4550483,2570.949376,19.36383847,53.91191961,3.168512012,9.39713928,56.53927136,0,0,0,0,0,0,5213.310528
2026-09-01 0:13,CNC-02,M,298.9161682,310.3051674,2636.763719,13.88367269,18.52077512,3.239912486,7.001742729,55.00059834,0,0,0,0,0,0,3833.57707
2026-09-01 0:13,CNC-03,H,298.5753776,308.9674253,2832.389146,9.563431285,30.33680903,3.3302814,5.210461939,58.12595398,0,0,1,0,0,1,2836.581598
2026-09-01 0:14,CNC-01,L,298.8677682,310.8696301,2694.936291,16.14974973,54.9864485,3.244697832,8.033052648,54.18939604,0,0,0,0,0,0,4557.670427
2026-09-01 0:14,CNC-02,M,298.7228808,310.0074985,2749.219124,13.48117635,19.55077512,3.182534457,6.864842879,57.84918475,0,0,0,0,0,0,3881.197689
2026-09-01 0:14,CNC-03,H,298.7471293,310.0029296,2757.988944,13.33219937,31.3730818,3.346481276,6.749998307,56.271888,0,0,0,0,0,0,3850.551518
2026-09-01 0:15,CNC-01,L,299.0009683,309.6920209,2814.27843,9.39499975,56.02124781,3.362388112,5.161889623,51.64527549,0,0,1,0,0,1,2768.805525
2026-09-01 0:15,CNC-02,M,298.9899843,310.6194352,2632.962305,16.08675779,20.64183802,3.208944535,7.790196133,55.92021796,0,0,0,0,0,0,4435.491817
2026-09-01 0:15,CNC-03,H,298.9677086,310.3913057,2777.64812,14.10338531,32.4030818,3.341372726,7.624226093,51.77352896,0,0,0,0,0,0,4102.316997
2026-09-01 0:16,CNC-01,L,298.9602675,311.0382061,2649.558366,18.64446365,57.09296804,3.183862819,9.60176384,51.39397346,0,0,0,0,0,0,5173.113454
2026-09-01 0:16,CNC-02,M,298.8189457,310.3798606,2709.395698,15.00756168,21.71508614,3.149346309,7.585305824,52.09903056,0,0,0,0,0,0,4258.054264
2026-09-01 0:16,CNC-03,H,298.956018,311.0973389,2778.697515,18.02948561,33.47393864,3.314408424,9.185836719,59.3511654,0,0,0,0,0,0,5246.301276
